area,state,seed,action,time,frame,steps,config_id,reward,experiment.step_duration,compatibility_mode,filepath,experiment.update_freq,environment.zone,environment,algorithm,seed_offline,time_offline,action_offline,config_id_offline,frame_offline,experiment.update_freq_offline,experiment.checkpoint,compatibility_mode_offline,experiment.step_duration_offline,filepath_offline,environment.path,experiment.image_save_keys,environment_offline,algorithm_offline
"[42.6875 12.25   20.5625 44.1875 62.1875 41.4375 49.25   59.125  41.8125
 49.6875 44.4375 58.5    37.25   36.75   53.5625 63.5625 18.75   67.8125
 31.1875 11.6875 43.75   52.5    26.75   30.75   29.25   11.     18.375
 25.     32.5    24.3125 30.375  31.25   35.5    19.5625 18.5625 28.8125]",[1.74421932e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240914.5349934,20,21,-8144594618283321666,-0.0102703940689825,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385222.4500496,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,20.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[42.5    13.25   16.875  45.375  57.875  39.75   48.9375 59.9375 41.625
 51.0625 45.375  58.875  35.5625 35.     54.5625 63.4375 19.0625 70.1875
 28.25   12.0625 42.1875 54.75   26.5    33.875  31.625  12.0625 14.5
 24.3125 31.8125 12.9375 30.1875 31.0625 36.9375 18.75   18.125  39.75  ]",[1.74421937e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240973.412541,21,22,-8144594618283321666,-0.0027567958787363,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385224.6718583,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,21.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[41.1875 13.5    19.5    42.3125 57.6875 43.25   49.875  61.375  42.25
 49.4375 44.6875 56.25   34.4375 36.0625 56.75   64.875  25.0625 64.125
 31.375  12.0625 43.0625 52.5625 27.375  31.25   29.5625 11.3125 13.9375
 24.6875 32.625   0.     31.8125 33.375  35.4375 19.0625 19.6875 42.8125]",[1.74421943e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241032.544414,22,23,-8144594618283321666,0.0134604750107497,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385226.857402,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,22.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[42.375  13.625  17.0625 45.5    59.0625 43.     50.125  56.875  40.5625
 50.125  44.5625 60.6875 36.9375 36.0625 56.75   62.25   18.375  66.5
 32.75   12.     44.     55.375  26.4375 35.8125 28.75   12.375  14.25
 23.5    31.6875 26.1875 33.1875 32.75   35.5625 19.75   21.4375 48.9375]",[1.74421949e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241093.9405713,23,24,-8144594618283321666,0.0242157841155588,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385229.1045506,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,23.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[44.1875 13.5625 20.0625 45.625  60.5    43.     49.125  58.25   41.0625
 49.875  43.5625 58.1875 37.4375 35.625  55.4375 61.1875 21.125  66.6875
 28.8125 11.625  42.5625 53.8125 26.3125 34.1875 29.8125 10.8125 14.5625
 26.4375 30.875  25.9375 30.6875 30.5625 36.6875 18.375  17.5625 22.1875]",[1.74421955e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241153.4065475,24,25,-8144594618283321666,-0.0347297208005927,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385231.5047204,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,24.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[45.     12.625  18.4375 43.6875 63.625  42.875  49.3125 59.0625 42.
 49.875  44.5625 61.375  36.625  36.5625 56.25   65.5    18.0625 66.4375
 30.1875  9.4375 43.25   54.5625 28.625  39.625  29.5625 11.125  17.9375
 26.0625 32.     26.375  31.875  33.     35.1875 20.5    18.1875 18.125 ]",[1.74421961e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241213.8700109,25,26,-8144594618283321666,0.0102685828576065,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385234.0739224,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,25.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[41.6875 13.1875 22.5625 43.4375 62.875  41.375  49.125  57.8125 42.25
 50.5625 42.875  62.8125 34.75   34.625  57.875  60.875  14.375  63.8125
 32.3125 11.9375 43.4375 53.25   24.4375 33.     29.0625 13.0625 13.5625
 22.8125 44.625  17.75   32.6875 33.0625 37.375  21.25   18.25   19.125 ]",[1.74421967e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241273.131265,26,27,-8144594618283321666,-0.0136521654689713,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385236.4116554,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,26.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[43.125  13.3125 18.125  43.3125 58.625  40.875  49.4375 56.75   41.9375
 50.875  48.75   60.4375 33.9375 40.1875 59.6875 63.5625 18.8125 64.5
 33.1875 12.125  43.9375 54.5    27.25   29.9375 30.0625 10.25   13.3125
 24.3125 35.0625 23.     29.1875 31.0625 37.1875 18.9375 16.1875 20.8125]",[1.74421973e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241333.6508372,27,28,-8144594618283321666,0.0036339338691277,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385239.2415977,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,27.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[43.4375 13.1875 19.4375 44.375  60.     36.25   50.1875 61.5    41.875
 52.6875 48.4375 59.0625 34.6875 39.75   55.25   64.125  21.0625 67.1875
 32.125  11.6875 43.1875 53.25   27.1875 32.1875 30.125  10.25   13.875
 22.9375 30.0625  0.     29.75   27.3125 37.625  20.     16.8125 13.125 ]",[1.74421979e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241393.4045975,28,29,-8144594618283321666,-0.0235383272749135,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385241.7344272,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,28.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[43.9375 13.9375 18.75   42.4375 62.875  41.3125 50.625  61.875  40.
 50.625  45.5625 60.     37.     34.5625 54.125  62.875  19.6875 65.9375
 31.75   13.1875 45.0625 53.75   24.6875 40.3125 28.6875 11.0625 14.5625
 23.3125 35.625   0.     30.6875 33.8125 34.6875 21.125  17.0625 13.25  ]",[1.74421985e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241453.858774,29,30,-8144594618283321666,0.0117755166698167,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385244.1638353,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,29.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
