area,state,seed,action,time,frame,steps,config_id,reward,experiment.step_duration,compatibility_mode,filepath,experiment.update_freq,environment.zone,environment,algorithm
"[ 83.125   89.5625  91.9375 120.25    62.125  186.0625 146.875  162.3125
  78.5     94.6875  98.625  131.8125  64.0625  85.3125  78.125   63.0625
  76.5     72.625   67.25    94.5     59.25   103.25    61.6875 110.25
 120.5     91.625  172.6875 122.125  100.     158.4375 103.     141.5625
  87.25   118.75    60.875   95.3125]",[1.74424113e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241162.6609201,20,21,-2625447392661257852,0.00011446824200683249,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[  88.625    79.125    95.625   110.25     65.5625  171.0625  150.8125
  162.375    74.5      87.9375   97.5     143.75     92.75     81.6875
   81.0625   65.25   1977.8125   80.1875   64.9375   95.625   175.4375
   95.9375   74.8125  118.9375  129.4375   93.75    157.8125  119.75
   99.3125  168.125   117.875   159.      101.125   109.4375   62.375
   95.9375]",[1.7442412e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241225.9279568,21,22,-2625447392661257852,0.09239566737434378,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 78.      67.375   86.9375 101.125   91.4375 182.     149.875  164.125
  81.1875 104.5625  95.     131.4375  78.8125  87.4375  79.625   65.3125
  81.9375  71.5     67.3125  94.4375 138.8125 102.      90.625  112.125
 123.5625  88.4375 173.6875 126.5    102.1875  88.9375 114.625  142.125
  94.375  117.      63.0625  96.75  ]",[1.74424126e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241288.8512652,22,23,-2625447392661257852,-0.06674361085537371,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 75.3125  77.5     88.375  126.875   73.875  196.     337.4375 154.1875
  87.      94.6875 104.375  162.1875  68.0625  90.75    82.875   66.1875
  81.0625  73.4375  64.625   91.875   61.     101.875   77.9375 111.625
 130.25   100.875  169.4375 127.875  111.75   108.8125 124.5    156.875
  90.3125 111.75    61.75    98.3125]",[1.74424133e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241352.952614,23,24,-2625447392661257852,0.007645156275631109,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[  90.       68.375    91.      118.3125   71.      187.75    272.6875
  158.       97.875    91.9375   96.5625  149.3125   65.125    85.8125
   81.4375   62.4375 2060.75     68.5625   66.125   102.8125   55.25
   92.875    71.125   110.75    132.75     76.875   158.4375  123.6875
   97.25    168.375   118.3125  146.5625   94.875   107.0625   61.125
   97.375 ]",[1.74424139e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241415.298414,24,25,-2625447392661257852,0.014789702671392862,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 78.9375  82.3125  89.9375 108.0625  81.375  172.4375 367.375  161.6875
  68.5625  97.      81.25   145.6875  68.1875  85.5625  76.      66.
  93.6875  72.3125  69.375   90.875   63.5    109.1875  70.375  114.4375
 128.      92.5    158.9375 117.625   98.75    99.375  112.75   142.125
  92.5625 122.1875  65.125   97.625 ]",[1.74424145e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241477.3662863,25,26,-2625447392661257852,-0.05252077482627991,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 77.5625  97.      99.125  110.3125  84.4375 192.25   389.75   166.0625
  86.1875  96.4375 100.4375 149.9375  75.125   85.3125  78.9375  65.
  96.875   75.4375  69.4375 103.75    60.75   108.125   90.5625 117.75
 136.0625  91.4375 180.8125 133.25   113.     111.125  116.625  158.3125
  89.8125 129.9375  67.      94.25  ]",[1.74424151e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241540.4081037,26,27,-2625447392661257852,0.06708216654604343,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 80.3125  70.6875  81.3125 114.3125  78.875  168.0625 148.8125 161.0625
  80.125  106.0625  87.8125 145.5     77.0625  87.1875  81.0625  63.25
  91.8125  73.1875  65.25    98.0625 182.5    110.      77.4375 108.375
 139.9375  89.3125 171.5625 121.375  101.8125  92.5625 117.9375 147.
 100.9375 123.875   63.875   93.6875]",[1.74424157e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241602.17619,27,28,-2625447392661257852,-0.017829662938308347,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 71.25    63.1875  90.0625 111.8125  75.75   165.6875 365.     159.3125
  68.875   85.875   89.0625 143.1875  81.75    91.25    80.25    61.1875
  79.125   67.9375  70.5625 108.125   65.5     95.5     61.9375 119.25
 119.1875  86.5    166.     118.5625  92.5625 147.5625 118.25   149.5
  92.8125 113.3125  65.4375  98.125 ]",[1.74424164e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241665.3982165,28,29,-2625447392661257852,-0.0444762619483232,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 85.8125  78.625   91.625  111.5625  69.625  172.1875 342.8125 171.6875
  76.0625  88.125   94.5625 146.3125  88.0625  86.25    83.875   65.75
  91.1875  75.75    68.     102.      57.      94.625   91.25   121.25
 121.125   83.5    169.8125 123.375   92.875  128.375  120.375  134.6875
  92.25   122.      64.3125  96.0625]",[1.7442417e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241727.2663677,29,30,-2625447392661257852,0.02161540339054381,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
