S17176_1:101		Capture_1:201		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		Capture_6:206		Capture_7:207		Capture_8:208		Capture_9:209		Capture_11:211		Capture_12:212		Capture_13:213		Capture_14:214		
364.591	4	364.591	2	364.591	-1	364.591	1	364.591	1	364.591	2	364.591	1	364.591	1	364.591	-1	364.591	-1	364.591	-2	364.591	0	364.591	0	364.591	1	
365.045	1	365.045	-2	365.045	-5	365.045	-1	365.045	-2	365.045	0	365.045	-2	365.045	0	365.045	-4	365.045	-3	365.045	-1	365.045	0	365.045	-1	365.045	-4	
365.499	-4	365.499	-1	365.499	2	365.499	-3	365.499	2	365.499	0	365.499	2	365.499	-4	365.499	1	365.499	-3	365.499	0	365.499	-2	365.499	0	365.499	0	
365.954	-1	365.954	-2	365.954	4	365.954	5	365.954	-2	365.954	-2	365.954	1	365.954	2	365.954	-2	365.954	1	365.954	-1	365.954	-1	365.954	2	365.954	2	
366.408	-5	366.408	-5	366.408	-1	366.408	-1	366.408	-6	366.408	-2	366.408	-4	366.408	-4	366.408	-1	366.408	-3	366.408	-5	366.408	-4	366.408	-8	366.408	-5	
366.862	-1	366.862	-1	366.862	-2	366.862	0	366.862	0	366.862	0	366.862	-1	366.862	-1	366.862	1	366.862	-2	366.862	1	366.862	-2	366.862	-3	366.862	-3	
367.316	2	367.316	1	367.316	-2	367.316	-3	367.316	-1	367.316	-1	367.316	1	367.316	2	367.316	0	367.316	2	367.316	2	367.316	-1	367.316	4	367.316	-4	
367.771	-3	367.771	-3	367.771	1	367.771	0	367.771	1	367.771	4	367.771	2	367.771	-3	367.771	-2	367.771	1	367.771	0	367.771	-2	367.771	-4	367.771	-1	
368.225	1	368.225	-1	368.225	0	368.225	1	368.225	-3	368.225	3	368.225	0	368.225	2	368.225	0	368.225	-1	368.225	-4	368.225	2	368.225	3	368.225	-3	
368.68	0	368.68	4	368.68	3	368.68	1	368.68	-4	368.68	-3	368.68	-2	368.68	2	368.68	0	368.68	0	368.68	0	368.68	-4	368.68	2	368.68	-1	
369.135	-1	369.135	-1	369.135	-1	369.135	-1	369.135	4	369.135	-1	369.135	-1	369.135	1	369.135	0	369.135	1	369.135	3	369.135	2	369.135	0	369.135	2	
369.59	-1	369.59	-3	369.59	3	369.59	0	369.59	1	369.59	0	369.59	0	369.59	-5	369.59	0	369.59	2	369.59	-1	369.59	1	369.59	-3	369.59	-1	
370.044	2	370.044	0	370.044	0	370.044	2	370.044	0	370.044	2	370.044	0	370.044	-2	370.044	-3	370.044	2	370.044	1	370.044	3	370.044	1	370.044	2	
370.499	-1	370.499	-4	370.499	-3	370.499	1	370.499	2	370.499	0	370.499	1	370.499	-1	370.499	-2	370.499	-3	370.499	-2	370.499	-2	370.499	-2	370.499	-1	
370.954	-3	370.954	-2	370.954	-2	370.954	-1	370.954	-3	370.954	-2	370.954	-2	370.954	-1	370.954	-3	370.954	-3	370.954	-2	370.954	-3	370.954	-1	370.954	0	
371.409	-3	371.409	-4	371.409	-1	371.409	0	371.409	-1	371.409	1	371.409	1	371.409	-3	371.409	-3	371.409	-4	371.409	1	371.409	-3	371.409	-2	371.409	-3	
