S17176_1:101		Capture_1:201		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		Capture_6:206		Capture_7:207		Capture_8:208		Capture_9:209		Capture_10:210		Capture_11:211		Capture_12:212		Capture_13:213		Capture_14:214		
375.508	-2	375.508	4	375.508	5	375.508	0	375.508	1	375.508	2	375.508	5	375.508	4	375.508	3	375.508	0	375.508	3	375.508	1	375.508	5	375.508	3	375.508	1	
375.964	-3	375.964	1	375.964	2	375.964	-4	375.964	-4	375.964	0	375.964	1	375.964	1	375.964	-1	375.964	-1	375.964	1	375.964	0	375.964	1	375.964	1	375.964	1	
376.42	-2	376.42	2	376.42	0	376.42	0	376.42	-2	376.42	-3	376.42	6	376.42	-3	376.42	3	376.42	0	376.42	1	376.42	1	376.42	-1	376.42	-4	376.42	3	
376.876	-11	376.876	-12	376.876	-16	376.876	-10	376.876	-14	376.876	-13	376.876	-12	376.876	-7	376.876	-12	376.876	-14	376.876	-9	376.876	-12	376.876	-13	376.876	-11	376.876	-14	
377.332	3	377.332	1	377.332	-1	377.332	-1	377.332	3	377.332	0	377.332	-1	377.332	0	377.332	0	377.332	-5	377.332	-3	377.332	1	377.332	-1	377.332	2	377.332	0	
377.788	-3	377.788	1	377.788	4	377.788	0	377.788	3	377.788	2	377.788	1	377.788	-1	377.788	2	377.788	2	377.788	-1	377.788	-1	377.788	0	377.788	3	377.788	0	
378.244	-1	378.244	-4	378.244	-3	378.244	-4	378.244	-5	378.244	-6	378.244	4	378.244	-3	378.244	0	378.244	-1	378.244	-2	378.244	-1	378.244	-1	378.244	-3	378.244	1	
378.701	4	378.701	5	378.701	6	378.701	6	378.701	6	378.701	1	378.701	4	378.701	5	378.701	3	378.701	8	378.701	4	378.701	7	378.701	8	378.701	3	378.701	2	
379.157	1	379.157	-1	379.157	-1	379.157	2	379.157	-1	379.157	0	379.157	6	379.157	6	379.157	2	379.157	0	379.157	-2	379.157	-4	379.157	1	379.157	-4	379.157	1	
379.614	1	379.614	0	379.614	4	379.614	7	379.614	-2	379.614	2	379.614	4	379.614	6	379.614	2	379.614	3	379.614	0	379.614	6	379.614	1	379.614	2	379.614	0	
380.07	-2	380.07	-2	380.07	0	380.07	-1	380.07	-1	380.07	-4	380.07	0	380.07	1	380.07	2	380.07	-1	380.07	3	380.07	-5	380.07	0	380.07	2	380.07	-1	
380.527	0	380.527	3	380.527	3	380.527	4	380.527	6	380.527	1	380.527	0	380.527	5	380.527	1	380.527	0	380.527	-1	380.527	1	380.527	3	380.527	3	380.527	5	
380.983	-1	380.983	-3	380.983	-6	380.983	0	380.983	1	380.983	-2	380.983	-3	380.983	-3	380.983	0	380.983	-1	380.983	-4	380.983	-4	380.983	-7	380.983	1	380.983	0	
381.44	0	381.44	1	381.44	2	381.44	4	381.44	1	381.44	-1	381.44	0	381.44	2	381.44	5	381.44	2	381.44	3	381.44	1	381.44	2	381.44	1	381.44	4	
381.897	3	381.897	0	381.897	-3	381.897	0	381.897	0	381.897	0	381.897	0	381.897	1	381.897	3	381.897	3	381.897	1	381.897	3	381.897	2	381.897	1	381.897	4	
382.354	-3	382.354	0	382.354	-1	382.354	0	382.354	1	382.354	-2	382.354	-2	382.354	0	382.354	0	382.354	0	382.354	-1	382.354	1	382.354	1	382.354	2	382.354	2	
382.811	-2	382.811	-1	382.811	-1	382.811	-2	382.811	-2	382.811	1	382.811	0	382.811	1	382.811	-1	382.811	-3	382.811	-4	382.811	-1	382.811	-2	382.811	-3	382.811	-3	
383.268	0	383.268	4	383.268	1	383.268	6	383.268	3	383.268	3	383.268	1	383.268	1	383.268	0	383.268	1	383.268	2	383.268	7	383.268	-1	383.268	-1	383.268	2	
383.725	-2	383.725	-1	383.725	3	383.725	-1	383.725	1	383.725	4	383.725	1	383.725	1	383.725	-3	383.725	-2	383.725	1	383.725	2	383.725	2	383.725	-2	383.725	-1	
384.182	0	384.182	0	384.182	0	384.182	2	384.182	0	384.182	0	384.182	2	384.182	0	384.182	6	384.182	-1	384.182	0	384.182	0	384.182	4	384.182	0	384.182	2	
384.639	-2	384.639	2	384.639	-1	384.639	0	384.639	-2	384.639	1	384.639	0	384.639	1	384.639	0	384.639	4	384.639	-1	384.639	0	384.639	1	384.639	0	384.639	-3	
385.097	3	385.097	2	385.097	2	385.097	2	385.097	5	385.097	0	385.097	6	385.097	1	385.097	7	385.097	5	385.097	-1	385.097	-1	385.097	2	385.097	1	385.097	0	
385.554	-2	385.554	2	385.554	0	385.554	4	385.554	2	385.554	-2	385.554	1	385.554	1	385.554	0	385.554	4	385.554	4	385.554	3	385.554	4	385.554	1	385.554	0	
386.011	-4	386.011	-5	386.011	-6	386.011	-5	386.011	-6	386.011	-7	386.011	-6	386.011	0	386.011	-6	386.011	-8	386.011	-5	386.011	-5	386.011	-2	386.011	-5	386.011	-5	
386.469	1	386.469	1	386.469	4	386.469	-1	386.469	-1	386.469	0	386.469	5	386.469	-3	386.469	4	386.469	-1	386.469	4	386.469	-1	386.469	1	386.469	0	386.469	-2	
386.927	2	386.927	-2	386.927	-2	386.927	-1	386.927	-1	386.927	1	386.927	3	386.927	-2	386.927	1	386.927	2	386.927	-1	386.927	-2	386.927	-1	386.927	1	386.927	-1	
