DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 1, 'action vals for state': array([ -4.02422759, -14.98446184, -13.21378446,  -4.06897255])}
DEBUG:exp:{'x': 1, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -4.17471393, -14.98446184, -13.21378446,  -4.06897255])}
DEBUG:exp:{'x': 1, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 0, 'action vals for state': array([ -4.3145549 , -14.98446184, -13.21378446,  -4.06897255])}
DEBUG:exp:{'x': 1, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -4.3145549 , -14.98446184, -13.21378446,  -4.21973725])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -4.3145549 , -14.98446184, -13.21378446,  -4.36937123])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -4.46361478, -14.98446184, -13.21378446,  -4.36937123])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 0, 'action vals for state': array([ -4.60307479, -14.98446184, -13.21378446,  -4.36937123])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -4.60307479, -14.98446184, -13.21378446,  -4.51860425])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -4.60307479, -14.98446184, -13.21378446,  -4.66671802])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -4.60307479, -14.98446184, -13.21378446,  -4.80799304])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 2, 'action vals for state': array([ -4.60307479, -14.98446184, -12.50070603,  -4.80799304])}
DEBUG:exp:{'x': 12, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -4.74928464, -14.98446184, -12.50070603,  -4.80799304])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -4.8943979 , -14.98446184, -12.50070603,  -4.80799304])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 0, 'action vals for state': array([ -5.03064638, -14.98446184, -12.50070603,  -4.80799304])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -5.03064638, -14.98446184, -12.50070603,  -4.95322263])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -5.03064638, -14.98446184, -12.50070603,  -5.097363  ])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -5.03064638, -14.98446184, -12.50070603,  -5.23441782])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -5.1747155 , -14.98446184, -12.50070603,  -5.23441782])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -5.3177041 , -14.98446184, -12.50070603,  -5.23441782])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 0, 'action vals for state': array([ -5.45212452, -14.98446184, -12.50070603,  -5.23441782])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -5.45212452, -14.98446184, -12.50070603,  -5.37750291])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 1, 'action vals for state': array([ -5.45212452, -14.16577791, -12.50070603,  -5.37750291])}
DEBUG:exp:{'x': 1, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -5.45212452, -14.16577791, -12.50070603,  -5.51746816])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -5.45212452, -14.16577791, -12.50070603,  -5.65050274])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -5.59202605, -14.16577791, -12.50070603,  -5.65050274])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -5.73087832, -14.16577791, -12.50070603,  -5.65050274])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 0, 'action vals for state': array([ -5.8614554 , -14.16577791, -12.50070603,  -5.65050274])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -5.8614554 , -14.16577791, -12.50070603,  -5.78944382])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -5.8614554 , -14.16577791, -12.50070603,  -5.92734284])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -5.8614554 , -14.16577791, -12.50070603,  -6.05827775])}
