state,steps,frame,action,reward,config_id,seed,time,area,representation.tilings,environment.zone,representation.tiles,environment.path,representation.which_tc,epsilon,experiment.update_freq,experiment.step_duration,experiment.checkpoint,lambda,alpha,experiment.image_save_keys,representation.wrap_time,environment,algorithm,compatibility_mode,filepath
[0.04739583 0.34558031],21,20,3,0.868399441242218,-3368738093455022160,0,1743748315.4958823,"[187.8125 397.9375 356.5625 704.     378.9375 250.     153.9375 390.9375
 461.1875 594.125  172.625  401.4375 394.6875 460.0625 274.3125 351.3125
 385.75   484.625  572.25   329.9375 135.3125 530.25   463.125  140.3125
 355.8125 345.     468.9375 328.375  214.5625 395.875  371.25   335.4375
 270.1875 362.875  474.3125 379.25  ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[ 0.05085648 -0.306209  ],22,21,3,0.3455803096294403,-3368738093455022160,0,1743748326.9777598,"[115.3125 344.75   321.875  571.9375 438.0625 283.1875 146.4375 330.
 348.875  624.1875 170.125  454.5    338.875  411.6875 250.125  354.3125
 381.8125 474.1875 459.5    267.3125 127.3125 493.5625 452.1875 178.875
 337.625  365.375  470.125  316.1875 196.3125 380.5    356.8125 328.6875
 260.     366.125  466.3125 348.25  ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.05436343 0.95402747],23,22,2,-0.306208997964859,-3368738093455022160,0,1743748340.0402846,"[ 78.5    364.8125 343.375  687.5    493.75   370.125  140.6875 394.125
 447.625  707.5625 187.4375 467.125  389.6875 441.0625 280.5    373.6875
 400.25   480.5    454.625  318.5625 115.4375 497.75   494.375  156.
 386.375  374.5625 414.4375 325.375  231.375  357.0625 406.3125 504.9375
 293.75   359.4375 488.125  372.25  ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.05783565 0.84046215],24,23,1,0.9540274739265442,-3368738093455022160,0,1743748353.5119884,"[ 85.0625 358.5    338.8125 688.     480.1875 320.5    146.6875 391.8125
 432.8125 712.1875 188.25   466.4375 382.1875 445.8125 283.8125 363.25
 403.5625 475.4375 448.6875 315.625  100.5    501.     494.75   153.125
 386.1875 357.6875 407.625  410.0625 223.25   355.75   410.25   497.8125
 294.5625 359.3125 478.625  360.3125]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.06130787 0.81020141],25,24,1,0.8404621481895447,-3368738093455022160,0,1743748366.7252634,"[ 83.     359.4375 341.25   686.375  470.1875 361.4375 139.     393.375
 431.5    709.625  186.9375 534.375  385.6875 444.75   272.0625 360.4375
 398.25   470.1875 454.8125 324.9375 112.5    497.0625 499.8125 158.125
 389.3125 372.375  408.0625 412.8125 225.8125 355.     402.4375 390.3125
 296.6875 367.8125 481.4375 364.6875]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.06478009 0.93350232],26,25,3,0.8102014064788818,-3368738093455022160,0,1743748380.5172575,"[ 82.8125 336.125  342.     685.875  462.9375 357.375  141.1875 391.5625
 437.5    710.3125 186.8125 494.5625 394.6875 442.0625 282.1875 362.625
 401.     482.5625 447.1875 321.     112.625  510.     496.4375 158.
 402.6875 369.125  404.5625 327.5625 228.875  359.875  410.0625 513.5625
 383.25   363.     482.875  363.4375]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.06825231 0.92176652],27,26,3,0.9335023164749146,-3368738093455022160,0,1743748393.7037244,"[ 76.6875 363.4375 344.0625 695.6875 454.8125 360.6875 153.0625 392.1875
 436.875  569.625  184.5625 532.6875 395.8125 437.3125 284.8125 361.875
 399.625  478.4375 454.1875 304.4375 113.875  496.25   486.75   155.6875
 396.4375 380.9375 410.875  410.4375 228.     349.3125 405.625  501.4375
 309.     361.8125 489.4375 359.0625]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.07172454 0.82392031],28,27,1,0.9217665195465088,-3368738093455022160,0,1743748407.202088,"[ 87.625  357.0625 342.125  686.5625 439.25   362.875  138.6875 389.625
 435.6875 679.     187.5625 525.1875 386.5625 436.8125 285.125  351.125
 398.5    480.25   437.8125 313.75   118.6875 497.25   486.5625 154.5
 388.5625 364.625  404.4375 412.5625 228.3125 356.375  396.8125 496.9375
 315.8125 358.0625 486.9375 360.1875]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.07519676 0.64465344],29,28,1,0.8239203095436096,-3368738093455022160,0,1743748420.5323207,"[ 88.     349.     336.0625 674.6875 428.3125 349.3125 144.     347.125
 425.0625 632.0625 188.8125 525.     382.125  430.375  278.125  349.3125
 393.6875 469.125  442.75   314.6875 112.125  487.9375 479.8125 152.1875
 388.1875 365.4375 407.6875 415.0625 226.1875 351.5    397.3125 498.25
 306.5625 357.875  483.5    350.875 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.07866898 0.66370225],30,29,1,0.6446534395217896,-3368738093455022160,0,1743748433.6545055,"[ 84.125  334.6875 340.5    614.125  414.5625 340.375  145.125  388.3125
 435.3125 628.4375 186.75   481.9375 387.6875 434.1875 286.6875 352.8125
 397.4375 475.0625 447.125  320.3125 121.1875 501.375  482.6875 150.6875
 384.1875 371.3125   2.9375 413.5    222.0625 361.5    414.1875 495.6875
 803.     360.0625 485.0625 358.0625]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.0821412 0.7515288],31,30,1,0.6637022495269775,-3368738093455022160,0,1743748446.5631394,"[ 83.3125 349.3125 339.1875 601.9375 351.5625 326.5    138.     376.4375
 443.8125 616.0625 187.9375 519.     381.9375 425.25   289.5    346.4375
 390.6875 463.875  448.4375 315.5625 125.75   503.875  501.625  149.125
 392.3125 366.375  491.9375 415.3125 219.625  359.125  407.875  499.
 323.5    367.0625 478.     354.9375]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.08561343 0.75531423],32,31,1,0.751528799533844,-3368738093455022160,0,1743748459.849997,"[ 81.0625 353.4375 338.0625 614.125  388.25   323.75   149.625  377.4375
 424.125  606.0625 186.8125 522.5    388.0625 432.125  290.25   356.625
 397.0625 486.375  440.875  307.375  109.     500.9375 499.5625 146.4375
 386.125  370.8125 406.25   415.875  233.5    364.1875 410.375  507.125
 326.0625 376.875  477.6875 364.8125]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.08908565 0.71557701],33,32,1,0.7553142309188843,-3368738093455022160,0,1743748472.8822446,"[ 88.5    324.625  336.9375 612.25   365.8125 321.1875 137.8125 341.375
 424.     578.375  188.625  508.375  377.5    425.6875 281.6875 354.9375
 394.5    487.125  440.6875 312.0625 117.75   505.25   509.5    147.25
 391.9375 366.25   487.125  418.3125 233.3125 366.8125 401.5625 493.3125
 327.0625 372.4375 480.4375 368.3125]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.09255787 0.58807099],34,33,1,0.7155770063400269,-3368738093455022160,0,1743748485.606417,"[ 80.6875 325.6875 344.625  629.625  365.125  335.5625 138.6875 343.6875
 467.625  574.     188.0625 491.8125 383.5    427.4375 279.3125 358.5
 403.3125 490.0625 434.3125 296.     114.875  507.6875 507.1875 152.125
 392.6875 364.8125 482.6875 327.5625 230.6875 369.6875 399.625  407.125
 323.     372.9375 491.5625 361.25  ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.09603009 0.68683445],35,34,1,0.5880709886550903,-3368738093455022160,0,1743748498.8254068,"[ 84.9375 323.9375 334.4375 615.0625 384.125  347.25   143.75   337.
 458.875  575.1875 184.9375 457.5    378.25   423.625  279.4375 362.
 403.25   505.0625 433.625  289.4375 103.9375 503.4375 503.625  150.5
 367.4375 361.3125 480.9375 420.0625 229.125  364.625  397.8125 500.4375
 316.6875 373.25   497.8125 356.    ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.09949074 0.67155838],36,35,1,0.686834454536438,-3368738093455022160,0,1743748511.0678804,"[ 79.375  320.1875 336.6875 681.0625 369.0625 355.1875 146.9375 377.5
 433.75   568.6875 186.625  494.875  344.1875 334.     287.25   366.5
 402.8125 504.5625 425.1875 297.75   114.875  493.125  492.75   141.4375
 361.6875 348.3125 472.125  412.125  245.5625 362.0625 405.5    503.8125
 388.25   377.5625 509.     359.3125]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.10293981 0.24905291],37,36,3,0.6715583801269531,-3368738093455022160,0,1743748520.8538291,"[ 92.9375 329.3125 347.5625 662.875  421.5    314.625  136.5    332.625
 429.75   587.375  186.5    450.3125 350.875  329.5625 278.625  359.
 393.9375 504.75   435.5625 283.875   89.125  501.125  499.125  155.4375
 329.75   328.625    0.     411.8125 232.4375 384.875  380.3125 363.9375
 782.875  379.3125 515.8125 368.375 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.10643519 0.73133451],38,37,1,0.24905291199684143,-3368738093455022160,0,1743748532.8061628,"[ 83.4375 322.5    340.8125 660.4375 378.8125 354.25   135.5625 334.125
 425.875  610.4375 187.375  496.8125 366.75   418.3125 285.125  367.3125
 399.875  512.875  435.375  283.0625 103.625  502.5    502.4375 155.875
 375.125  365.5625 480.5625 423.6875 240.375  364.625  400.5625 496.
 348.875  372.125  508.9375 357.875 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.10990741 0.59846795],39,38,1,0.7313345074653625,-3368738093455022160,0,1743748544.7619555,"[ 75.5625 321.25   335.5625 668.625  385.4375 348.75   142.5    330.875
 416.8125 606.125  186.1875 483.6875 334.     415.75   282.25   367.5625
 399.25   512.875  443.3125 284.8125 109.6875 500.4375 491.9375 150.5
 361.375  345.3125 478.9375 421.     236.3125 365.375  399.8125 500.6875
 317.3125 372.3125 506.75   347.1875]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.11337963 0.54801202],40,39,1,0.5984679460525513,-3368738093455022160,0,1743748557.2263868,"[ 77.8125 323.0625 335.     599.6875 378.375  334.25   140.1875 331.6875
 425.6875 603.6875 186.9375 474.     332.875  331.375  280.75   368.5
 400.125  510.0625 438.3125 287.625  112.1875 512.0625 495.125  147.8125
 349.8125 356.875  484.5625 420.75   238.5625 368.     407.5625 503.875
 317.4375 377.1875 503.9375 361.1875]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.11685185 0.52760631],41,40,3,0.5480120182037354,-3368738093455022160,0,1743748569.8065534,"[ 81.25   325.0625 332.5625 599.5625 412.1875 328.5625 139.6875 330.125
 430.9375 603.     183.25   456.75   330.125  322.75   284.3125 366.375
 399.3125 511.0625 431.5    282.75   106.8125 500.875  493.     141.25
 372.1875 358.375  478.5    418.5    246.875  359.6875 401.25   496.125
 321.     370.625  499.25   355.5625]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.12032407 0.56802744],42,41,1,0.5276063084602356,-3368738093455022160,0,1743748582.0586064,"[ 84.875  322.5625 335.1875 603.625  345.875  326.9375 139.0625 334.875
 428.6875 599.9375 184.9375 526.9375 341.5    327.125  281.375  365.5625
 403.     523.1875 439.625  275.625  104.1875 503.875  498.1875 146.875
 375.5625 366.8125 403.9375 420.9375 231.75   367.1875 403.     512.5
 413.25   375.5    492.625  358.625 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[ 0.12378472 -0.2762495 ],43,42,3,0.5680274367332458,-3368738093455022160,0,1743748593.9229937,"[ 93.125  229.75   314.625  567.0625 335.9375 253.375  135.625  321.875
 413.25   527.875  187.8125 450.75   295.8125 343.25   271.5    352.5
 415.1875 530.25   396.125  256.25   103.5    485.625  481.9375 160.4375
 247.6875 347.875  459.5625 314.25   233.875  375.0625 342.625  326.1875
 303.     338.25   455.875  343.5   ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.12726852 0.59686756],44,43,1,-0.276249498128891,-3368738093455022160,0,1743748605.9157524,"[ 79.1875 365.375  341.3125 616.25   354.9375 326.125  145.25   380.625
 424.75   602.0625 185.875  466.1875 347.3125 342.4375 282.5    367.6875
 403.9375 533.625  438.8125 277.125  104.     490.1875 499.9375 140.375
 360.0625 359.125  488.875  417.75   239.0625 355.625  405.375  503.125
 324.4375 378.75   485.6875 353.4375]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.13072917 0.34834138],45,44,3,0.596867561340332,-3368738093455022160,0,1743748616.548441,"[184.     362.0625 353.5    614.0625 344.0625 243.9375 132.6875 345.625
 423.9375 589.625  187.375  421.6875 372.1875 327.3125 284.5625 362.125
 415.375  530.9375 487.375  269.875   91.6875 521.75   505.8125 156.25
 315.1875 341.3125 485.6875 413.0625 283.75   378.375  360.4375 344.5625
 276.875  377.     494.3125 360.875 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.13418981 0.43921295],46,45,3,0.3483413755893707,-3368738093455022160,0,1743748626.3127315,"[135.75   354.     352.375  612.8125 370.375  319.9375 141.     337.5625
 459.25   586.375  183.5    478.75   339.625  331.125  284.1875 367.75
 397.1875 526.8125 435.1875 283.3125  84.125  491.6875 497.875  147.5
 333.1875 326.875  474.     409.9375 232.4375 375.8125 380.     364.25
 317.3125 388.375  505.75   364.4375]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.13768519 0.65493697],47,46,1,0.43921294808387756,-3368738093455022160,0,1743748638.915196,"[ 85.3125 326.125  339.1875 604.8125 360.8125 350.     138.0625 342.0625
 433.375  592.8125 185.75   497.5625 383.6875 412.9375 290.625  367.125
 404.375  528.1875 435.75   275.5625  99.8125 493.125  463.375  147.5
 368.75   354.125  481.3125 423.4375 242.375  371.6875 391.9375 488.375
 319.9375 377.     508.125  360.625 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
