time,steps,action,reward,seed,config_id,area,frame,state,experiment.update_freq,lambda,alpha,representation.tiles,representation.wrap_time,environment.zone,representation.tilings,epsilon,experiment.step_duration,representation.which_tc,environment,algorithm
1743756036.6950428,27,3,-0.019998090341687202,0,-7091294343972981023,"[ 88.5    251.5    335.25   508.0625 398.3125 306.5625 166.     352.25
 390.5    746.375  219.     406.5625 382.     344.125  313.5625 414.
 418.     546.75   464.625  237.875  100.25   465.0625 417.125  312.3125
 358.4375 373.75   446.6875 449.625  276.375  379.1875 417.     503.875
 264.0625 531.8125 512.375  435.75  ]",26,[0.36137893 0.8905521 ],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743756335.9487054,28,0,0.8905521035194397,0,-7091294343972981023,"[ 80.9375 243.5625 340.0625 509.5625 407.5625 298.4375 165.     259.3125
 391.9375 737.     217.0625 408.75   374.0625 348.8125 305.5625 416.8125
 427.125  554.25   461.375  237.625   93.     457.9375 416.     303.0625
 343.1875 304.1875 443.3125 262.25   277.1875 386.0625 403.1875 484.
 390.25   376.6875 504.875  417.125 ]",27,[0.36485115 0.38826829],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743756633.4052167,29,1,0.38826829195022583,0,-7091294343972981023,"[ 88.8125 240.4375 308.8125 553.5    217.875  264.6875 159.25   242.875
 261.125  609.5625 194.3125 458.3125 365.4375 350.8125 286.125  408.6875
 419.8125 564.9375 448.1875 228.     107.75   491.4375 505.6875 210.125
 309.5625 292.     467.5    363.6875 260.     416.5    366.9375 336.6875
 240.375  378.1875 489.625  400.125 ]",28,[ 0.36832338 -0.36305514],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743756933.7751763,30,3,-0.36305513978004456,0,-7091294343972981023,"[154.125  263.5    351.     499.4375 366.1875 262.8125 156.3125 363.625
 280.5    656.125  196.0625 359.875  370.375  345.     297.9375 391.6875
 435.0625 584.1875 453.8125 250.6875  72.5625 509.     488.4375 186.375
 314.1875 301.125  444.5    349.875  305.9375 436.4375 375.875  340.5
 221.0625 372.5    512.375  419.0625]",29,[0.3717956  0.05017411],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743757235.837896,31,1,0.050174105912446976,0,-7091294343972981023,"[ 81.375  240.     335.3125 582.125  415.0625 295.3125 159.4375 350.125
 391.     652.375  218.4375 458.75   381.25   342.5    310.25   403.4375
 420.6875 562.3125 460.625  239.6875  97.25   453.1875 414.875  297.625
 357.875  352.125  442.3125 342.6875 279.     371.875  411.4375 486.75
 361.4375 377.25   506.3125 427.3125]",30,[0.37526782 0.66200709],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743757533.6896148,32,0,0.6620070934295654,0,-7091294343972981023,"[181.0625 281.875  359.625  509.     371.4375 262.5625 160.75   365.0625
 397.9375 655.3125 195.25   438.375  392.     354.125  306.5    392.8125
 417.4375 578.1875 461.6875 252.      87.125  490.6875 493.4375 186.9375
 326.9375 278.     452.1875 443.     275.75   434.0625 388.1875 344.
 216.25   357.     534.375  427.9375]",31,[0.37874004 0.41293719],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743757833.337151,33,1,0.412937194108963,0,-7091294343972981023,"[ 84.0625 249.6875 324.0625 465.5625 235.6875 259.5625 150.     340.3125
 274.75   628.625  209.25   438.6875 359.4375 349.625  283.4375 380.125
 415.     570.5    436.75   261.0625  96.5    478.     504.375  191.8125
 309.1875 269.25   448.375  345.75   258.9375 431.625  353.5    332.8125
 204.     370.5625 461.6875 387.9375]",32,[ 0.38221226 -0.32335132],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743758133.7866058,34,0,-0.32335132360458374,0,-7091294343972981023,"[153.125  261.75   356.875  534.6875 252.5    250.9375 156.0625 368.4375
 390.4375 651.625  206.125  439.8125 362.8125 348.5625 310.6875 380.9375
 426.25   604.5    466.0625 306.3125 103.5    489.75   521.5    173.9375
 322.8125 303.3125 447.6875 433.8125 268.     442.     385.125  343.625
 218.875  367.625  503.875  416.5   ]",33,[0.38568449 0.32917395],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743758433.5770466,35,1,0.3291739523410797,0,-7091294343972981023,"[ 87.25   224.4375 310.25   478.25   250.75   296.1875 139.125  344.875
 285.5625 535.5    212.375  360.125  341.375  349.     293.75   381.25
 395.1875 555.1875 414.25   238.5625  87.125  482.0625 385.75   315.875
 254.125  301.875  441.125  265.6875 258.5    436.5    378.     343.3125
 222.3125 359.375  462.1875 393.4375]",34,[ 0.38915671 -0.42632845],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743758734.2016068,36,1,-0.4263284504413605,0,-7091294343972981023,"[164.8125 279.8125 363.5    538.25   368.625  264.0625 167.25   367.8125
 405.6875 662.4375 211.5    381.5625 398.5625 358.875  321.6875 394.5
 430.625  613.4375 460.25   311.6875  95.9375 502.9375 523.3125 197.3125
 325.625  296.25   460.125  362.75   262.6875 442.75   378.625  345.125
 213.6875 399.8125 511.75   426.1875]",35,[0.39262893 0.51483864],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
