steps,reward,config_id,time,state,area,action,seed,frame,environment.zone,experiment.update_freq,compatibility_mode,filepath,experiment.step_duration,environment,algorithm
21,0.01175894143066825,-7474599382848119081,1744229205.3026495,[1.74422918e+09],"[  83.875    86.      113.9375  102.125    71.875   191.4375  144.25
  160.375    68.4375   97.125    96.6875  145.6875   63.5      74.375
   74.0625   62.125  1996.9375   74.       60.5625   75.5      46.125
   89.375    64.5625  124.6875  129.125    93.1875  183.1875  118.4375
   95.      172.      113.9375  131.6875   88.4375  115.125    64.875
   88.6875]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,20,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
22,-0.014191061455620706,-7474599382848119081,1744229268.9533916,[1.74422924e+09],"[ 88.1875  86.6875  93.25    95.625   84.25   175.0625 333.125  157.5625
  64.0625  85.5     86.875  130.125   92.875   83.125   79.6875  56.75
  86.3125  74.5625  65.8125  85.75   217.0625  91.      69.375  108.25
 120.375   84.8125 154.6875 125.8125  96.      99.8125 108.0625 148.5625
  87.75   110.125   67.75    88.75  ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,21,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
23,-0.007653425960725084,-7474599382848119081,1744229333.380614,[1.7442293e+09],"[ 77.25    80.6875 100.9375 111.1875  71.0625 214.8125 403.875  156.875
  92.8125  97.4375 100.25   149.375   73.      79.625   71.375   53.1875
  83.375   74.0625  64.875  105.8125  72.25    90.5     73.6875 102.3125
 119.5     91.8125 184.8125 116.4375  94.875   98.9375 110.375  134.125
  95.9375 137.8125  59.625   89.5   ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,22,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
24,-0.01157937107342688,-7474599382848119081,1744229396.5921705,[1.74422937e+09],"[ 75.4375  89.3125  92.3125 109.5625  73.375  184.6875 189.6875 147.6875
  76.125   86.5625  88.5625 147.625   83.0625  84.75    80.4375  53.4375
  78.5     72.5     59.0625 104.1875  60.      93.9375  77.5625 104.
 120.5     80.875  156.9375 118.9375  88.25    99.875  122.9375 152.375
  89.0625 121.875   64.375   86.0625]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,23,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
25,0.001275274478819127,-7474599382848119081,1744229459.1497235,[1.74422943e+09],"[ 75.25    86.5     84.4375 106.      73.5625 207.25   137.4375 150.125
  72.9375  97.625   88.5    186.6875  63.5     75.9375  77.875   53.
  85.4375  87.6875  55.625   92.      52.5     86.9375 103.0625  89.4375
 126.1875  87.625  162.875  121.75    94.125  163.5    108.     142.125
  85.0625 112.75    62.125   85.4375]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,24,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
26,-0.020009628497344483,-7474599382848119081,1744229521.5168362,[1.74422949e+09],"[ 85.5625  87.1875 105.     110.625   64.5    178.25   107.4375 148.5625
  66.125   92.4375  99.5    148.25    74.4375  79.0625  73.      57.75
  89.      78.4375  56.0625  84.3125  61.3125 100.4375  83.8125 113.1875
 129.375   80.6875 164.625  112.3125  90.4375  99.3125 102.625  137.5625
  84.625  119.875   66.1875  91.3125]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,25,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
27,0.03150377893928853,-7474599382848119081,1744229584.2529662,[1.74422956e+09],"[ 82.9375  88.875   95.6875 106.      69.8125 177.8125 151.4375 149.125
  79.5     84.     102.3125 149.3125  73.1875  81.8125  76.25    57.375
  86.3125  79.3125  60.375   98.3125  69.9375 101.875   70.4375  96.6875
 130.25    89.5625 162.375  126.875  103.9375  98.375  120.625  139.
  88.1875 117.5625  69.      91.5625]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,26,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
28,-0.025965029992929545,-7474599382848119081,1744229648.3326895,[1.74422962e+09],"[  67.625    94.375    80.1875   95.5      80.25    180.0625  138.8125
  152.8125   74.6875   85.25     86.4375  127.375    70.4375   71.4375
   79.9375   53.75     69.875    66.125    62.875    84.9375   59.8125
   93.25     66.9375  101.125   125.5    1385.875   163.875   113.25
   89.875   160.5     108.25    129.9375   91.8125  125.625    61.0625
   86.9375]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,27,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
29,0.02893784850625864,-7474599382848119081,1744229711.0477662,[1.74422968e+09],"[  71.1875   74.25     98.5     102.4375   58.8125  173.5     143.
  161.5      64.25     99.125    86.5     187.125    77.75     80.8125
   74.8125   61.75   1991.8125   73.4375   57.875    94.5      63.
   98.3125   69.3125   95.75    113.625    91.25    175.875   103.5625
   92.0625  137.4375  122.      148.6875   87.4375  123.5625   63.1875
   88.375 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,28,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
30,-0.00441751484474625,-7474599382848119081,1744229775.1714294,[1.74422975e+09],"[ 74.9375  83.625   92.875  105.1875  69.6875 184.125  408.625  157.0625
  79.125   99.9375  96.375  146.25    71.3125  79.25    81.3125  53.125
  73.4375  71.875   63.1875 102.25    54.5     97.0625  71.8125 107.125
 125.875   89.     168.     112.9375  99.1875 191.625  113.125  141.8125
  84.75   109.375   61.375   88.    ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,29,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
31,0.030318100642973286,-7474599382848119081,1744229838.714602,[1.74422981e+09],"[ 86.0625  81.375   88.25   110.875   73.3125 192.6875 368.875  152.4375
  67.375   91.375  100.125  137.8125  70.625   80.375   77.625   61.3125
  83.1875  85.4375  61.125   92.1875  65.9375  95.9375  86.5625 112.5
 131.9375  97.125  183.25   120.      98.3125 187.5    107.9375 158.5
  87.5    139.3125  75.25    86.5   ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,30,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
32,0.03251049167266041,-7474599382848119081,1744229902.335707,[1.74422987e+09],"[  90.5      99.5     101.6875  116.       65.75    175.9375  153.75
  160.8125   82.9375   91.75     95.6875  130.875    68.25     84.375
   70.       65.8125 2041.9375   84.5625   68.875    86.6875  224.3125
   90.375    69.1875   94.0625  124.9375   89.375   164.9375  111.4375
   87.9375  172.0625  109.3125  127.5625   88.5     124.9375   69.
  100.5625]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,31,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
33,-0.09912271390791678,-7474599382848119081,1744229967.1509326,[1.74422994e+09],"[ 63.3125  82.25    88.625  105.125   66.8125 196.4375 137.8125 150.1875
  74.8125  91.4375  99.1875 143.125   78.25    69.375   78.3125  54.5625
  91.375   69.6875  62.625   89.4375  56.8125  95.3125  89.25    86.6875
 122.875   84.3125 171.125  123.4375 112.1875  98.3125  97.75   136.6875
  81.5625 121.      61.5     92.0625]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,32,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
34,0.07123436121620827,-7474599382848119081,1744230029.8934813,[1.74423e+09],"[  87.375    81.875    81.75     99.125    70.4375  203.25    393.375
  152.5625   71.6875  100.0625   81.25    142.375    79.625    87.8125
   72.75     57.4375   83.0625   74.1875   61.5     110.6875  172.875
   89.       72.3125  106.6875  124.5      92.9375  185.3125 1011.625
   96.4375  114.125   113.125   145.6875   80.625   118.3125   69.
   88.5   ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,33,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
35,-0.05681868752229235,-7474599382848119081,1744230092.3025014,[1.74423007e+09],"[ 71.625   73.9375  79.8125  98.25    68.25   203.75   132.125  144.6875
  74.875   85.9375  86.5    178.9375  81.      80.1875  81.9375  59.6875
  80.8125  74.125   60.6875  95.0625  54.5625  98.5     68.9375 106.
 122.375   77.25   160.1875 117.     106.3125 179.4375 111.6875 141.75
  93.9375 120.4375  65.3125  92.125 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,34,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
36,0.08351776563435265,-7474599382848119081,1744230155.5372329,[1.74423013e+09],"[  94.4375   78.3125   94.3125  116.5      74.0625  181.6875  144.0625
  156.9375   79.5      99.375    81.4375  148.5625   71.5      82.125
   79.3125   66.9375 2008.8125   71.4375   64.1875   93.125    60.8125
   90.0625   86.6875  117.75    125.3125   82.5625  166.      130.0625
  114.25    143.5625  123.8125  148.125    98.      132.875    62.5
   96.625 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,35,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
37,0.002133031579140387,-7474599382848119081,1744230218.4314404,[1.74423019e+09],"[  86.6875   88.125    91.3125  100.875    70.875   177.3125  154.9375
  151.375    95.625   103.875    97.5625  188.5      92.5      79.125
   77.875    56.8125 1967.5      90.4375   58.125    91.5625   67.
   93.125    91.875    99.9375  119.8125   89.875   154.6875  114.
   92.875   161.8125  117.125   147.8125   99.6875  123.6875   66.8125
   86.6875]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,36,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
38,-0.04114084989857921,-7474599382848119081,1744230281.2404623,[1.74423025e+09],"[  80.75     75.5      78.8125  108.0625   79.875   183.0625  403.5
  153.125    71.375    96.375    90.875   145.375    76.125    78.8125
   78.25     54.9375 1976.8125   84.0625   58.875   107.875    66.0625
   95.375    87.      111.6875  113.0625   79.9375  154.6875  118.9375
   93.0625  171.8125  107.6875  133.875    84.3125  115.375    61.25
   86.625 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,37,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
39,-0.019886320090185875,-7474599382848119081,1744230345.8439062,[1.74423032e+09],"[ 73.8125  76.3125  88.3125 108.875   56.9375 189.1875 370.9375 155.125
  74.625   86.0625  90.5625 132.9375  87.75    75.4375  72.5     60.5
  78.5625  77.4375  62.1875  92.25    58.875   95.      88.25   104.
 134.8125  89.4375 159.9375 117.1875  97.125  177.6875 116.875  139.4375
  98.5    124.3125  64.5625  91.9375]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,38,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
40,0.049224544790108966,-7474599382848119081,1744230409.1220312,[1.74423038e+09],"[  86.       79.25     91.625   108.8125   73.25    191.6875  388.375
  147.5      78.3125   97.9375   88.6875  154.75     74.1875   80.1875
   76.5      57.5    1990.0625   86.3125   61.3125   96.6875   62.5625
  105.6875   85.75    100.8125  124.375    81.4375  164.125   124.8125
  101.625   154.      116.3125  146.875    93.875   125.0625   67.875
   89.25  ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,39,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
41,-0.04744281394824461,-7474599382848119081,1744230472.2412825,[1.74423044e+09],"[ 76.      76.5     96.75   107.      64.6875 170.25   151.     157.0625
  67.6875  89.375   95.4375 134.      93.25    72.0625  79.3125  59.4375
  81.75    84.5625  63.25    98.125   59.875   94.9375  86.9375  95.3125
 129.625   81.9375 165.5625 108.4375 103.25   153.1875 108.8125 135.1875
  96.625  124.1875  75.8125  93.    ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,40,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
42,0.0078476636760883,-7474599382848119081,1744230536.4034667,[1.74423051e+09],"[ 82.6875  79.375   91.75   103.625   57.1875 178.1875 417.     146.4375
  78.25    93.25    99.3125 154.4375  77.625   79.625   72.875   55.4375
  84.5     75.375   66.25   105.0625  64.875  101.25    72.8125 103.125
 122.9375  87.9375 163.875  106.125   97.     176.6875 120.8125 152.9375
  84.4375 121.8125  73.5625  89.5   ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,41,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
43,-0.057048316450786486,-7474599382848119081,1744230599.8278055,[1.74423057e+09],"[ 77.25    69.4375  88.875  103.1875  64.5    186.375  104.75   151.75
  77.4375  97.4375  93.125  157.625   78.      81.1875  72.375   58.875
  77.875   77.875   68.75    77.      48.5     96.5     57.625  120.0625
 124.0625  79.875  168.75   122.3125 102.8125  98.     109.75   139.0625
  92.3125 124.9375  65.75    85.4375]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,42,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
44,0.006146057533085094,-7474599382848119081,1744230663.4113634,[1.74423063e+09],"[ 77.8125  74.125   79.4375 106.1875  62.875  174.0625 357.8125 155.6875
  74.625   93.6875  85.25   128.125   88.25    76.9375  70.125   61.75
  87.5     81.6875  58.25    90.5625  60.0625  98.5     67.875  110.
 120.      74.1875 164.5    109.6875  96.1875  81.8125 116.625  147.375
  88.625  123.3125  72.875  100.125 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,43,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
45,0.02994253311351438,-7474599382848119081,1744230726.756386,[1.7442307e+09],"[ 81.5     75.4375  98.75   111.375   75.5    182.25   354.8125 147.375
  88.3125 106.      96.8125 193.625   60.1875  72.8125  77.25    59.5
  78.125   83.0625  57.3125  97.25    58.375   96.9375  64.0625  99.1875
 126.375   80.375  167.8125 117.4375  98.4375 108.     109.     147.125
  95.3125 123.75    63.1875  82.4375]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,44,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
46,0.055825437897446484,-7474599382848119081,1744230789.9391341,[1.74423076e+09],"[ 81.9375  70.3125  85.875  102.5625  67.1875 178.5    407.9375 151.9375
  78.5     98.125   92.5    221.8125  79.8125  83.0625  80.6875  64.4375
  79.6875  78.0625  67.9375 106.875   71.25   104.875   92.5625 197.1875
 121.6875  84.1875 166.9375 114.4375 106.1875 159.125  111.25   154.
  95.25   115.5     62.75    89.125 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,45,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
47,0.05183624114800969,-7474599382848119081,1744230854.781929,[1.74423083e+09],"[  83.75     86.75    102.125   113.875    73.9375  212.3125  419.4375
  160.3125   83.9375   94.5625  104.3125  159.6875   77.5      72.4375
   74.5625   60.5    2030.6875   81.       63.4375  101.25    220.875
   92.0625   69.75    103.5625  117.625    84.375   181.3125  135.875
   91.75    152.6875  117.6875  140.125    98.5625  126.3125   69.
   96.375 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,46,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
